"totalCount","data__award_id","data__award_fixed_id","data__code","data__name","data__award_operative_from","data__award_operative_to","data__version_number","data__last_modified_datetime","data__published_year"
"156","1752","1","MA000001","Black Coal Mining Industry Award 2020","2010-01-01","null","3","2025-07-04T00:23:18+00:00","2025"
"","1753","2","MA000002","Clerks—Private Sector Award 2020 ","2010-01-01","null","2","2025-06-30T17:00:38+00:00","2025"
"","1754","3","MA000003","Fast Food Industry Award 2020","2010-01-01","null","3","2025-07-04T00:23:19+00:00","2025"
"","1755","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:20+00:00","2025"
"","1756","5","MA000005","Hair and Beauty Industry Award 2020","2010-01-01","null","3","2025-07-04T00:23:20+00:00","2025"
"","1757","6","MA000006","Higher Education Industry—Academic Staff—Award 2020","2010-01-01","null","2","2025-07-04T00:23:20+00:00","2025"
"","1758","7","MA000007","Higher Education Industry—General Staff—Award 2020","2010-01-01","null","2","2025-07-04T00:23:20+00:00","2025"
"","1759","8","MA000008","Horse and Greyhound Training Award 2020","2010-01-01","null","2","2025-06-30T17:01:01+00:00","2025"
"","1760","9","MA000009","Hospitality Industry (General) Award 2020","2010-01-01","null","2","2025-07-04T00:23:20+00:00","2025"
"","1761","10","MA000010","Manufacturing and Associated Industries and Occupations Award 2020 ","2010-01-01","null","2","2025-07-04T00:23:20+00:00","2025"
"","1762","11","MA000011","Mining Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:21+00:00","2025"
"","1763","12","MA000012","Pharmacy Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:21+00:00","2025"
"","1764","13","MA000013","Racing Clubs Events Award 2020","2010-01-01","null","2","2025-07-04T00:23:21+00:00","2025"
"","1765","14","MA000014","Racing Industry Ground Maintenance Award 2020","2010-01-01","null","2","2025-07-04T00:23:21+00:00","2025"
"","1766","15","MA000015","Rail Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:21+00:00","2025"
"","1767","16","MA000016","Security Services Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:21+00:00","2025"
"","1768","17","MA000017","Textile, Clothing, Footwear and Associated Industries Award 2020","2010-01-01","null","2","2025-07-04T00:23:21+00:00","2025"
"","1769","18","MA000018","Aged Care Award 2010","2010-01-01","null","2","2025-09-24T07:20:36+00:00","2025"
"","1770","19","MA000019","Banking, Finance and Insurance Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1771","20","MA000020","Building and Construction General On-site Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1772","21","MA000021","Business Equipment Award 2020","2010-01-01","null","2","2025-06-30T17:01:40+00:00","2025"
"","1773","22","MA000022","Cleaning Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1774","23","MA000023","Contract Call Centres Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1775","24","MA000024","Cotton Ginning Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1776","25","MA000025","Electrical, Electronic and Communications Contracting Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1777","26","MA000026","Graphic Arts, Printing and Publishing Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1778","27","MA000027","Health Professionals and Support Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1779","28","MA000028","Horticulture Award 2020","2010-01-01","null","2","2025-07-04T00:23:22+00:00","2025"
"","1780","29","MA000029","Joinery and Building Trades Award 2020","2010-01-01","null","2","2025-07-04T00:23:23+00:00","2025"
"","1781","30","MA000030","Market and Social Research Award 2020","2010-01-01","null","2","2025-07-04T00:23:23+00:00","2025"
"","1782","31","MA000031","Medical Practitioners Award 2020","2010-01-01","null","2","2025-07-04T00:23:23+00:00","2025"
"","1783","32","MA000032","Mobile Crane Hiring Award 2020","2010-01-01","null","2","2025-07-04T00:23:23+00:00","2025"
"","1784","33","MA000033","Nursery Award 2020","2010-01-01","null","2","2025-07-04T00:23:23+00:00","2025"
"","1785","34","MA000034","Nurses Award 2020","2010-01-01","null","2","2025-09-24T07:22:26+00:00","2025"
"","1786","35","MA000035","Pastoral Award 2020","2010-01-01","null","1","2025-07-04T00:23:24+00:00","2025"
"","1787","36","MA000036","Plumbing and Fire Sprinklers Award 2020","2010-01-01","null","2","2025-07-04T00:23:24+00:00","2025"
"","757","37","MA000037","Quarrying Award 2010","2010-01-01","null","6","2025-08-17T23:24:50+00:00","2019"
"","1788","38","MA000038","Road Transport and Distribution Award 2020","2010-01-01","null","2","2025-07-04T00:23:24+00:00","2025"
"","1789","39","MA000039","Road Transport (Long Distance Operations) Award 2020","2010-01-01","null","2","2025-07-04T00:23:24+00:00","2025"
"","1790","40","MA000040","Silviculture Award 2020","2010-01-01","null","2","2025-06-30T17:01:55+00:00","2025"
"","1791","41","MA000041","Telecommunications Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:24+00:00","2025"
"","1792","42","MA000042","Transport (Cash in Transit) Award 2020","2010-01-01","null","2","2025-07-04T00:23:25+00:00","2025"
"","1793","43","MA000043","Waste Management Award 2020","2010-01-01","null","2","2025-06-30T17:01:58+00:00","2025"
"","1794","44","MA000044","Wool Storage, Sampling and Testing Award 2020","2010-01-01","null","2","2025-07-04T00:23:25+00:00","2025"
"","1795","45","MA000045","Coal Export Terminals Award 2020","2010-01-01","null","2","2025-07-04T00:23:25+00:00","2025"
"","1796","46","MA000046","Air Pilots Award 2020","2010-01-01","null","2","2025-07-04T00:23:25+00:00","2025"
"","1797","47","MA000047","Aircraft Cabin Crew Award 2020","2010-01-01","null","2","2025-07-04T00:23:25+00:00","2025"
"","1798","48","MA000048","Airline Operations—Ground Staff Award 2020","2010-01-01","null","3","2025-07-04T00:23:26+00:00","2025"
"","1799","49","MA000049","Airport Employees Award 2020","2010-01-01","null","2","2025-07-04T00:23:26+00:00","2025"
"","1800","50","MA000050","Marine Towage Award 2020","2010-01-01","null","2","2025-07-04T00:23:26+00:00","2025"
"","1801","51","MA000051","Port Authorities Award 2020","2010-01-01","null","2","2025-07-04T00:23:26+00:00","2025"
"","1802","52","MA000052","Ports, Harbours and Enclosed Water Vessels Award 2020","2010-01-01","null","2","2025-07-04T00:23:26+00:00","2025"
"","1803","53","MA000053","Stevedoring Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1804","54","MA000054","Asphalt Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1805","55","MA000055","Cement, Lime and Quarrying Award 2020","2010-01-01","null","2","2025-06-30T17:02:09+00:00","2025"
"","1806","56","MA000056","Concrete Products Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1807","57","MA000057","Premixed Concrete Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1808","58","MA000058","Registered and Licensed Clubs Award 2020","2010-01-01","null","2","2025-06-30T17:02:11+00:00","2025"
"","1809","59","MA000059","Meat Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1810","60","MA000060","Aluminium Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1811","61","MA000061","Gas Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1812","62","MA000062","Hydrocarbons Industry (Upstream) Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1813","63","MA000063","Passenger Vehicle Transportation Award 2020","2010-01-01","null","2","2025-07-04T00:23:27+00:00","2025"
"","1814","64","MA000064","Hydrocarbons Field Geologists Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1815","65","MA000065","Professional Employees Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1816","66","MA000066","Surveying Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1817","67","MA000067","Journalists Published Media Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1818","68","MA000068","Seafood Processing Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1819","69","MA000069","Pharmaceutical Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1820","70","MA000070","Cemetery Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1821","71","MA000071","Timber Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:28+00:00","2025"
"","1822","72","MA000072","Oil Refining and Manufacturing Award 2020","2010-01-01","null","2","2025-07-04T00:23:29+00:00","2025"
"","1823","73","MA000073","Food, Beverage and Tobacco Manufacturing Award 2020","2010-01-01","null","2","2025-07-04T00:23:29+00:00","2025"
"","1824","74","MA000074","Poultry Processing Award 2020","2010-01-01","null","2","2025-07-04T00:23:29+00:00","2025"
"","1825","75","MA000075","Educational Services (Post-Secondary Education) Award 2020","2010-01-01","null","2","2025-07-04T00:23:29+00:00","2025"
"","1826","76","MA000076","Educational Services (Schools) General Staff Award 2020","2010-01-01","null","2","2025-07-04T00:23:29+00:00","2025"
"","1827","77","MA000077","Educational Services (Teachers) Award 2020","2010-01-01","null","2","2025-06-30T17:02:25+00:00","2025"
"","1828","78","MA000078","Book Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1829","79","MA000079","Architects Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1830","80","MA000080","Amusement, Events and Recreation Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1831","81","MA000081","Live Performance Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1832","82","MA000082","Sporting Organisations Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1833","83","MA000083","Commercial Sales Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1834","84","MA000084","Storage Services and Wholesale Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1835","85","MA000085","Dredging Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:30+00:00","2025"
"","1836","86","MA000086","Maritime Offshore Oil and Gas Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1837","87","MA000087","Sugar Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1838","88","MA000088","Electrical Power Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1839","89","MA000089","Vehicle Repair, Services and Retail Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1840","90","MA000090","Wine Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1841","91","MA000091","Broadcasting, Recorded Entertainment and Cinemas Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1842","92","MA000092","Alpine Resorts Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1843","93","MA000093","Marine Tourism and Charter Vessels Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1844","94","MA000094","Fitness Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1845","95","MA000095","Car Parking Award 2020","2010-01-01","null","2","2025-06-30T17:02:57+00:00","2025"
"","1846","96","MA000096","Dry Cleaning and Laundry Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:31+00:00","2025"
"","1847","97","MA000097","Pest Control Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1848","98","MA000098","Ambulance and Patient Transport Industry Award 2020","2010-01-01","null","2","2025-06-30T17:03:00+00:00","2025"
"","1849","99","MA000099","Labour Market Assistance Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1850","100","MA000100","Social, Community, Home Care and Disability Services Industry Award 2010","2010-01-01","null","2","2025-09-24T07:19:42+00:00","2025"
"","1851","101","MA000101","Gardening and Landscaping Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1852","102","MA000102","Travelling Shows Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1853","103","MA000103","Supported Employment Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1854","104","MA000104","Miscellaneous Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1855","105","MA000105","Funeral Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1856","106","MA000106","Real Estate Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1857","107","MA000107","Salt Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1858","108","MA000108","Professional Diving Industry (Industrial) Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1859","109","MA000109","Professional Diving Industry (Recreational) Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1860","110","MA000110","Corrections and Detention (Private Sector) Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1861","111","MA000111","Fire Fighting Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:32+00:00","2025"
"","1862","112","MA000112","Local Government Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1863","113","MA000113","Water Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1864","114","MA000114","Aquaculture Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1865","115","MA000115","Aboriginal and Torres Strait Islander Health Workers and Practitioners and Aboriginal Community Controlled Health Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1866","116","MA000116","Legal Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1867","117","MA000117","Mannequins and Models Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1868","118","MA000118","Animal Care and Veterinary Services Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1869","119","MA000119","Restaurant Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1870","120","MA000120","Children’s Services Award 2010","2010-01-01","null","3","2025-07-04T00:23:33+00:00","2025"
"","1871","121","MA000121","State Government Agencies Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1872","122","MA000122","Seagoing Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:33+00:00","2025"
"","1873","123","MA000123","Telstra Award 2015","2015-02-09","null","3","2025-07-04T00:23:33+00:00","2025"
"","1874","124","MA000124","Australian Public Service Enterprise Award 2015","2015-05-14","null","2","2025-07-04T00:23:33+00:00","2025"
"","1875","125","MA000125","Nurses and Midwives (Victoria) State Reference Public Sector Award 2015","2015-06-02","null","2","2025-07-04T00:23:33+00:00","2025"
"","1876","126","MA000126","Printing Industry – Herald & Weekly Times – Production Award 2015","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1877","127","MA000127","Chullora Printing Award 2015 ","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1878","128","MA000128","Queensland Newspapers Pty Ltd Printing (Murarrie) Award 2015","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1879","129","MA000129","Northern Territory News Award 2015  ","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1880","130","MA000130","Metropolitan Newspapers (South Australia and Tasmania) Printing Award 2015","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1881","131","MA000131","Nurses (ANMF - Victorian Local Government) Award 2015","2015-07-20","null","2","2025-07-04T00:23:34+00:00","2025"
"","1882","132","MA000132","Victorian Local Government Award 2015","2015-07-20","null","2","2025-07-04T00:23:34+00:00","2025"
"","1883","133","MA000133","Optus Award 2015","2015-07-17","null","2","2025-07-04T00:23:35+00:00","2025"
