penalty_fixed_id,clause_fixed_id,clause_description,classification_level,penalty_description,rate,employee_rate_type_code,penalty_calculated_value,calculated_includes_all_purpose,base_pay_rate_id,operative_from,operative_to,version_number,published_year,last_modified_datetime
1805,21665,"Full-time and part-time production and engineering employees—6 day roster and 7 day roster employees—overtime—Monday to Friday
",1,Afternoon and rotating night shift ,215,AD,63.92,false,BR89757,2025-07-01,,8,2025,2025-06-03T01:31:32+00:00
10926,28011,Casual staff employees—6 day roster and 7 day roster employees—overtime rates—Monday to Friday,1,Afternoon and rotating night shift,215,AD,85.66,false,BR101980,2025-07-01,,9,2025,2025-06-03T01:30:59+00:00
10889,27999,Full-time and part-time production and engineering employees—6 day roster and 7 day roster employees—overtime—Public holiday,1,Afternoon and rotating night shift,330,AD,98.11,false,BR89757,2025-07-01,,10,2025,2025-06-03T01:31:42+00:00
10935,28013,Casual staff employees—6 day roster and 7 day roster employees—overtime rates—Public holiday,1,Afternoon and rotating night shift,330,AD,131.47,false,BR101980,2025-07-01,,9,2025,2025-06-03T01:30:52+00:00
1826,21669,Full-time and part-time staff employees—6 day roster and 7 day roster employees—overtime—Monday to Friday,1,Afternoon and rotating night shift,215,AD,65.42,false,BR101996,2025-07-01,,8,2025,2025-06-03T01:31:21+00:00
10926,28011,Casual staff employees—6 day roster and 7 day roster employees—overtime rates—Monday to Friday,1,Afternoon and rotating night shift,215,AD,81.79,false,BR101996,2025-07-01,,9,2025,2025-06-03T01:31:00+00:00
10900,28003,Full-time and part-time staff employees—shiftwork—Public holiday,1,Afternoon and rotating night shift,330,AD,100.42,false,BR101996,2025-07-01,,8,2025,2025-06-03T01:31:16+00:00
10900,28003,Full-time and part-time staff employees—shiftwork—Public holiday,1,Afternoon and rotating night shift,330,AD,105.17,false,BR101980,2025-07-01,,8,2025,2025-06-03T01:31:16+00:00
10920,28009,Casual staff employees—shiftwork—Public holiday,1,Afternoon and rotating night shift,330,AD,131.47,false,BR101980,2025-07-01,,8,2025,2025-06-03T01:31:04+00:00
10909,28005,Full-time and part-time staff employees—6 day roster and 7 day roster employees—overtime—Public holiday,1,Afternoon and rotating night shift,330,AD,105.17,false,BR101980,2025-07-01,,9,2025,2025-06-03T01:31:10+00:00
10909,28005,Full-time and part-time staff employees—6 day roster and 7 day roster employees—overtime—Public holiday,1,Afternoon and rotating night shift,330,AD,100.42,false,BR101996,2025-07-01,,9,2025,2025-06-03T01:31:10+00:00
10935,28013,Casual staff employees—6 day roster and 7 day roster employees—overtime rates—Public holiday,1,Afternoon and rotating night shift,330,AD,125.53,false,BR101996,2025-07-01,,9,2025,2025-06-03T01:30:53+00:00
10920,28009,Casual staff employees—shiftwork—Public holiday,1,Afternoon and rotating night shift,330,AD,125.53,false,BR101996,2025-07-01,,8,2025,2025-06-03T01:31:04+00:00
1826,21669,Full-time and part-time staff employees—6 day roster and 7 day roster employees—overtime—Monday to Friday,1,Afternoon and rotating night shift,215,AD,68.52,false,BR101980,2025-07-01,,8,2025,2025-06-03T01:31:21+00:00
10880,27997,Full-time and part-time production and engineering employees—shiftwork—Public holiday,1,Afternoon and rotating night shift,330,AD,98.11,false,BR89757,2025-07-01,,8,2025,2025-06-03T01:31:44+00:00
10895,28002,Full-time and part-time staff employees—shiftwork—Weekend,1,Afternoon and rotating night shift - Saturday -  After 4 hours,230,AD,69.99,false,BR101996,2025-07-01,,14,2025,2025-06-03T01:31:40+00:00
10895,28002,Full-time and part-time staff employees—shiftwork—Weekend,1,Afternoon and rotating night shift - Saturday -  After 4 hours,230,AD,73.3,false,BR101980,2025-07-01,,14,2025,2025-06-03T01:31:39+00:00
10894,28002,Full-time and part-time staff employees—shiftwork—Weekend,1,Afternoon and rotating night shift - Saturday -  First 4 hours,172.5,AD,54.98,false,BR101980,2025-07-01,,14,2025,2025-06-03T01:31:40+00:00
