"totalCount","data__award_id","data__award_fixed_id","data__code","data__name","data__award_operative_from","data__award_operative_to","data__version_number","data__last_modified_datetime","data__published_year"
"11","1755","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-07-04T00:23:20+00:00","2025"
"","1600","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-06-30T17:00:47+00:00","2024"
"","1445","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:10+00:00","2023"
"","1290","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2022"
"","1135","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2021"
"","979","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2020"
"","724","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2019"
"","469","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2018"
"","314","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2017"
"","159","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2016"
"","4","4","MA000004","General Retail Industry Award 2020","2010-01-01","null","2","2025-08-14T22:19:09+00:00","2015"
