penalty_fixed_id,clause_fixed_id,clause_description,classification_level,penalty_description,rate,employee_rate_type_code,penalty_calculated_value,calculated_includes_all_purpose,base_pay_rate_id,operative_from,operative_to,version_number,published_year,last_modified_datetime
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,,false,,2025-07-01,,6,2025,2025-06-03T01:19:26+00:00
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,,false,,2025-07-01,,6,2025,2025-06-03T01:19:26+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,,false,,2025-07-01,,10,2025,2025-06-03T01:19:33+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,,false,,2025-07-01,,10,2025,2025-06-03T01:19:49+00:00
5395,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,,false,,2025-07-01,,6,2025,2025-06-03T01:19:27+00:00
1963,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,,false,,2025-07-01,,10,2025,2025-06-03T01:19:50+00:00
5395,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,,false,,2025-07-01,,6,2025,2025-06-03T01:19:27+00:00
1977,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,,false,,2025-07-01,,10,2025,2025-06-03T01:19:35+00:00
1964,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Sunday - OBPE and BPE,175,,,false,,2025-07-01,,10,2025,2025-06-03T01:19:49+00:00
5396,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Sunday - OBPE and BPE,175,,,false,,2025-07-01,,6,2025,2025-06-03T01:19:27+00:00
